                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45501,                0.64659,                  0.847,                0.94098,                0.97278,                0.95806,                0.92447,                0.27692,                0.38693,                0.77822,             0.00033304,             0.00033304,             0.00033304
                      2,                 0.4166,                0.36874,                0.83099,                0.94876,                0.97581,                0.95983,                0.92804,                0.27588,                0.36393,                0.77629,             0.00064438,             0.00064438,             0.00064438
                      3,                0.40386,                 0.3463,                0.82832,                0.94886,                0.98133,                0.95714,                0.93373,                 0.2511,                0.34877,                0.77182,             0.00093372,             0.00093372,             0.00093372
                      4,                0.39151,                0.32396,                0.82424,                0.95188,                0.98393,                 0.9589,                0.93847,                0.23942,                0.33515,                0.76836,               0.000901,               0.000901,               0.000901
                      5,                0.37509,                0.30345,                0.82127,                0.95568,                0.98558,                0.95728,                0.94018,                0.23301,                0.32516,                0.76736,               0.000901,               0.000901,               0.000901
                      6,                0.36865,                0.29177,                0.81943,                0.95636,                0.99042,                0.96212,                 0.9466,                0.22833,                0.30938,                0.76508,               0.000868,               0.000868,               0.000868
                      7,                0.35578,                0.28029,                0.81687,                0.95766,                0.98878,                0.95869,                0.94418,                0.22098,                 0.3082,                0.76483,               0.000835,               0.000835,               0.000835
                      8,                0.34669,                0.26936,                0.81376,                0.95826,                0.99268,                0.95875,                0.94591,                0.21156,                0.30172,                0.76337,               0.000802,               0.000802,               0.000802
                      9,                0.34153,                0.26189,                0.81274,                0.95915,                0.99263,                0.95769,                0.94467,                0.21157,                0.29731,                0.76256,               0.000769,               0.000769,               0.000769
                     10,                0.33448,                0.25407,                0.81079,                0.95838,                0.99304,                0.95927,                0.94918,                0.19673,                0.29356,                0.76038,               0.000736,               0.000736,               0.000736
                     11,                0.33011,                 0.2487,                0.81059,                0.95932,                0.99353,                  0.959,                0.94829,                 0.2004,                0.29255,                0.76069,               0.000703,               0.000703,               0.000703
                     12,                0.32358,                 0.2415,                0.80901,                0.96026,                0.99361,                0.95893,                0.94932,                0.19329,                0.28657,                 0.7595,                0.00067,                0.00067,                0.00067
                     13,                0.31885,                0.23591,                0.80795,                0.95834,                0.99452,                0.95796,                0.94853,                 0.1933,                0.28948,                0.75882,               0.000637,               0.000637,               0.000637
                     14,                0.31426,                0.23041,                0.80659,                0.95939,                0.99303,                0.95857,                0.94968,                0.18891,                 0.2841,                0.75852,               0.000604,               0.000604,               0.000604
                     15,                0.31022,                0.22724,                0.80508,                0.96002,                0.99407,                0.95864,                0.95147,                0.18248,                0.28193,                0.75708,               0.000571,               0.000571,               0.000571
                     16,                0.30628,                0.22192,                 0.8052,                0.96023,                0.99335,                0.95834,                0.95069,                0.18262,                0.28097,                0.75737,               0.000538,               0.000538,               0.000538
                     17,                0.30322,                0.21859,                0.80353,                0.95878,                0.99469,                0.95845,                0.95153,                0.18218,                 0.2785,                0.75696,               0.000505,               0.000505,               0.000505
                     18,                0.30064,                0.21551,                0.80322,                0.96046,                 0.9936,                0.95832,                0.95142,                0.17694,                0.27681,                0.75654,               0.000472,               0.000472,               0.000472
                     19,                0.29466,                0.21066,                0.80243,                0.95989,                0.99381,                0.95859,                0.95188,                0.17718,                0.27693,                0.75583,               0.000439,               0.000439,               0.000439
                     20,                0.29084,                0.20611,                 0.8007,                0.95954,                0.99372,                0.95815,                0.95201,                0.17082,                0.27377,                0.75487,               0.000406,               0.000406,               0.000406
                     21,                0.24231,                0.17067,                0.77252,                 0.9599,                0.99354,                0.95901,                0.95205,                0.17521,                0.27457,                0.75487,               0.000373,               0.000373,               0.000373
                     22,                0.23869,                0.16637,                0.77205,                0.96062,                0.99361,                0.95834,                0.95211,                0.17441,                0.27262,                0.75571,                0.00034,                0.00034,                0.00034
                     23,                0.23411,                0.16211,                0.77092,                0.96088,                0.99462,                0.95865,                0.95235,                0.17484,                0.27146,                0.75556,               0.000307,               0.000307,               0.000307
                     24,                0.23019,                0.15886,                0.77036,                0.95918,                0.99586,                0.95844,                0.95266,                0.16985,                0.27283,                0.75492,               0.000274,               0.000274,               0.000274
                     25,                0.22719,                0.15488,                0.76931,                0.95988,                 0.9957,                0.95802,                0.95198,                0.17004,                0.27154,                0.75502,               0.000241,               0.000241,               0.000241
                     26,                 0.2229,                0.15091,                0.76935,                0.96054,                0.99497,                0.95834,                0.95269,                0.16724,                0.27021,                0.75478,               0.000208,               0.000208,               0.000208
                     27,                0.21938,                0.14613,                0.76852,                0.95877,                0.99581,                 0.9582,                0.95259,                0.16702,                0.27091,                0.75446,               0.000175,               0.000175,               0.000175
                     28,                0.21652,                0.14326,                0.76816,                0.96004,                0.99469,                0.95778,                0.95263,                0.16535,                0.26991,                0.75421,               0.000142,               0.000142,               0.000142
                     29,                0.21345,                0.13955,                0.76786,                 0.9602,                0.99386,                0.95802,                0.95299,                0.16426,                0.27196,                 0.7537,               0.000109,               0.000109,               0.000109
                     30,                0.20982,                0.13612,                0.76735,                0.95937,                0.99501,                0.95754,                0.95249,                0.16275,                0.27119,                0.75352,                7.6e-05,                7.6e-05,                7.6e-05
